0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,3st_vol,3capacity,3net_inf,3st_rof,3lt_rof,3rest_demand,3unrest_demand,3unfulf_demand,3wastewater,3treat_capacity,3cont_fund,3ins_pout,3ins_price,3infra_npv,3debt_serv
3558,3558,280.516,0,0,60.9338,60.9338,0,47.964,299997,0.213101,0,0,0,0,6349,6349,1126.03,0,0.02,192.616,192.616,0,168.532,99999,0.360409,0,0,0,0,3943.75,3943.75,603.321,0,0,160.602,160.602,0,0,448,6.75845,0,0,0,0,17489.7,17489.7,3889.23,0,0,356.107,356.107,0,321.232,199998,1.02112,0,0,0,0
3558,3558,1808.72,0,0,54.068,54.068,0,52.4,299997,0.216391,0,0,0,0,6349,6349,2568.87,0,0.02,175.572,175.572,0,165.64,99999,0.3673,0,0,0,0,3943.75,3943.75,945.98,0,0,147.038,147.038,0,0,448,6.88549,0,0,0,0,17489.7,17489.7,7128.8,0,0,377.692,377.692,0,306.234,199998,1.04045,0,0,0,0
3558,3558,423.129,0,0,51.059,51.059,0,47.8097,299997,0.219498,0,0,0,0,6349,6349,2126.51,0,0.02,189.004,189.004,0,155.249,99999,0.374719,0,0,0,0,3943.75,3943.75,850.332,0,0,147.708,147.708,0,0,448,7.01311,0,0,0,0,17489.7,17489.7,6811.77,0,0,376.5,376.5,0,333.974,199998,1.05972,0,0,0,0
3531.71,3558,61.0757,0,0,39.5856,39.5856,0,48.506,299997,0.221834,0,0,0,0,6349,6349,341.079,0,0.02,190.647,190.647,0,179.554,99999,0.382213,0,0,0,0,3943.75,3943.75,155.389,0,0,149.667,149.667,0,0,448,7.14232,0,0,0,0,17489.7,17489.7,5714.34,0,0,434.594,434.594,0,357.675,199998,1.08261,0,0,0,0
3500.87,3558,73.8875,0,0,49.9285,49.9285,0,37.6063,299997,0.224782,0,0,0,0,6349,6349,244.771,0,0.02,187.393,187.393,0,181.115,99999,0.38958,0,0,0,0,3943.75,3943.75,53.1281,0,0,143.129,143.129,0,0,448,7.26589,0,0,0,0,17430.4,17489.7,303.233,0,0,399.656,399.656,0,412.864,199998,1.10366,0,0,0,0
3523.58,3558,157.192,0,0,47.4992,47.4992,0,47.4321,299997,0.227586,0,0,0,0,6349,6349,283.145,0,0.02,151.199,151.199,0,178.024,99999,0.395524,0,0,0,0,3943.75,3943.75,57.4544,0,0,152.383,152.383,0,0,448,7.39744,0,0,0,0,17153.8,17489.7,296.395,0,0,402.991,402.991,0,379.673,199998,1.12489,0,0,0,0
3520.29,3558,111.881,0,0,64.5997,64.5997,0,45.1242,299997,0.231399,0,0,0,0,6312.53,6349,169.256,0,0.02,191.495,191.495,0,143.639,99999,0.403052,0,0,0,0,3943.75,3943.75,47.8426,0,0,185.454,185.454,0,0,448,7.55755,0,0,0,0,16729.1,17489.7,163.892,0,0,381.927,381.927,0,382.842,199998,1.145,0,0,0,0
3490.23,3558,45.967,0,0,44.5892,44.5892,0,60.7231,299997,0.234055,0,0,0,0,6170.59,6349,61.5954,0,0.02,170.054,170.054,0,180.003,99999,0.409606,0,0,27.5152,0,3943.75,3943.75,84.5939,0,0,145.178,145.178,0,0,448,7.68254,0,0,0,0,16463,17489.7,238.427,0,0,385.005,385.005,0,359.007,199998,1.1649,0,0,0,0
3433,3558,6.60492,0,0,52.0427,52.0427,0,41.9134,299997,0.237154,0,0,0,0,5975.56,6349,11.8965,0,0.02,180.952,180.952,0,159.849,99999,0.41658,0,0,0,0,3943.75,3943.75,24.3346,0,0,151.392,151.392,0,0,448,7.81288,0,0,0,0,16255,17489.7,434.2,0,0,377.99,377.99,0,361.901,199998,1.18444,0,0,0,0
3409.59,3558,17.1651,0,0,50.0706,50.0706,0,48.9197,299997,0.240135,0,0,0,0,5831.47,6349,57.2198,0,0.02,192.326,192.326,0,170.093,99999,0.423992,0,0,0,0,3943.75,3943.75,61.5374,0,0,149.43,149.43,0,0,448,7.94154,0,0,0,0,15956.7,17489.7,886.313,0,0,421.205,421.205,0,355.307,199998,1.20621,0,0,0,0
