0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2s_area,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,15.6499,0,0,46.6328,-4.98683,35.9698,10300,173.861,35.9698,0,522.516,-313.137,697.762,7210,2060,1030,30825,21715.1,64,694.419,48.9723,0,1500.06,522.801,490,6117.19,15597.9,18831.1,0,0,0,0,48.9723,0,48.9723,0,0,490,0,118.53,0,608.53,0,1,0,1306.29,0,0,0,1306.29,20
649,1,13.6242,0,0,154.973,6.69017,134.658,10300,151.357,134.658,0,660.939,420.095,224.146,7210,2060,1030,30825,22825.6,64,681.057,162.747,0,3311.16,179.397,490,6439.78,16385.8,19844.1,0,0,0,0,162.747,0,162.747,0,0,490,0,244.061,0,734.061,0,1,0,958.206,0,0,0,958.206,20
649,1,15.6152,0,0,178.501,6.61566,156.27,10081.3,173.475,156.27,0,78.6497,415.416,25.85,7004.88,2050.96,1025.48,30663.9,22942.8,64,580.688,187.455,0,1158.18,62.1727,490,6443.32,16499.5,19939.6,0,0,0,0,187.455,0,187.455,0,0,490,0,200.237,0,690.237,0,1,0,716.087,0,0,0,716.087,20
649,1,15.013,0,0,455.016,6.15967,433.843,9965.86,162.041,433.843,0,140.712,386.783,25.85,6875.86,2060,1030,30779.2,23839,64,574.045,477.843,0,3933.94,-186.433,3067.62,6913.31,16925.7,20000,0,0,0,0,477.843,0,477.843,0,0,3067.62,0,100.413,0,3168.03,0,1,0,3193.88,0,0,0,3193.88,20
649,1,14.5295,0,0,806.322,5.51664,786.276,10300,153.934,786.276,0,226.256,346.406,132.253,7210,2060,1030,30825,23839,64,569.526,846.773,0,2290.07,378.733,2188.58,6913.31,16925.7,20000,0,0,0,0,846.773,0,846.773,0,0,2188.58,0,76.6558,0,2265.24,0,1,0,2397.49,0,0,0,2397.49,20
649,1,13.2626,0,0,53.4973,-1.65547,41.8901,10300,147.339,41.8901,0,133.035,-103.951,131.537,7210,2060,1030,30825,23688.6,64,548.723,56.1811,0,291.633,-384.631,357,6836.2,16852.4,19977.2,0,0,0,0,56.1811,0,56.1811,0,0,357,0,26.4191,0,383.419,0,1,0,514.956,0,0,0,514.956,20
649,1,12.1425,0,0,39.0907,4.78896,22.1593,10297.4,134.895,22.1593,0,436.667,300.712,25.85,7207.37,2060,1030,30825,23839,64,553.264,41.0518,0,1028.67,-488.826,832.01,6913.31,16925.7,20000,0,0,0,0,41.0518,0,41.0518,0,0,832.01,0,14.0215,0,846.031,0,1,0,871.881,0,0,0,871.881,20
649,1,12.2019,0,0,23.895,-1.6155,13.3087,10300,135.506,13.3087,0,380.682,-101.442,357.296,7210,2060,1030,30825,23421.4,64,565.504,25.0938,0,441.447,194.488,357,6767.21,16654.2,19767.1,0,0,0,0,25.0938,0,25.0938,0,0,357,0,8.72384,0,365.724,0,1,0,723.019,0,0,0,723.019,20
649,1,12.3595,0,0,6.82371,-13.8644,8.32853,10300,137.307,8.32853,0,35.834,-870.581,777.437,7210,2060,1030,30825,22827.6,64,625.241,7.16604,0,47.0344,-3.61234,357,6585.68,16242,19436.5,0,0,0,0,7.16604,0,7.16604,0,0,357,0,2.06414,0,359.064,0,1,0,1136.5,0,0,0,1136.5,20
649,1,11.8197,0,0,72.4685,-0.989958,61.6388,10300,131.309,61.6388,0,85.8914,-62.1622,78.3832,7210,2060,1030,30825,22470.7,64,587.049,76.104,0,249.24,-97.9043,357,6465.03,16005.7,19272.6,0,0,0,0,76.104,0,76.104,0,0,357,0,6.19569,0,363.196,0,1,0,441.579,0,0,0,441.579,20
649,1,12.5838,0,0,12.7296,-3.72082,3.86663,10300,139.799,3.86663,0,6.84527,-233.64,104.553,7210,2060,1030,30825,21962.9,64,554.19,13.3683,0,76.6108,4.75172,357,6327.27,15635.6,18954.5,0,0,0,0,13.3683,0,13.3683,0,0,357,0,10.2463,0,367.246,0,1,0,471.8,0,0,0,471.8,20
649,1,15.3149,0,0,36.998,-0.291535,21.9746,10194.5,170.139,21.9746,0,50.2185,-18.3063,25.85,7104.51,2060,1030,30825,21363.6,64,573.421,38.8541,0,201.418,287.938,357,6128.26,15235.3,18575.7,0,0,0,0,38.8541,0,38.8541,0,0,357,0,3.44629,0,360.446,0,1,0,386.296,0,0,0,386.296,20
649,1,12.152,0,0,74.7677,1.80305,60.8127,10067.1,133.026,60.8127,0,82.2322,113.218,25.85,6977.14,2060,1030,30823.3,21345.1,64,555.059,78.5186,0,364.223,-544.111,357,6113.83,15231.3,18668.9,0,0,0,0,78.5186,0,78.5186,0,0,357,0,4.21406,0,361.214,0,1,0,387.064,0,0,0,387.064,20
649,1,12.8838,0,0,14.6049,-17.769,19.4902,10300,138.508,19.4902,0,12.0318,-1115.76,774.238,7210,2060,1030,30825,20803.5,64,558.942,15.3376,0,162.629,146.056,357,5937.91,14865.6,18326.5,0,0,0,0,15.3376,0,15.3376,0,0,357,0,1.63094,0,358.631,0,1,0,1132.87,0,0,0,1132.87,20
649,1,12.34,0,0,30.3084,-3.11823,21.0866,10300,137.09,21.0866,0,14.4375,-195.802,94.2365,7210,2060,1030,30825,20233.1,64,613.531,31.8288,0,251.2,203.773,357,5758.08,14475,18005.7,0,0,0,0,31.8288,0,31.8288,0,0,357,0,3.2247,0,360.225,0,1,0,454.461,0,0,0,454.461,20
649,1,13.6041,0,0,34.9188,-2.34703,23.6617,10300,151.134,23.6617,0,39.2473,-147.376,59.1518,7210,2060,1030,30825,20111.1,64,469.402,36.6706,0,435.136,-166.959,357,5679.4,14431.7,17940.1,0,0,0,0,36.6706,0,36.6706,0,0,357,0,16.1599,0,373.16,0,1,0,432.312,0,0,0,432.312,20
649,1,13.373,0,0,262.671,-2.56917,251.867,10300,148.566,251.867,0,276.56,-161.326,541.186,7210,2060,1030,30825,21021.8,64,586.922,275.848,0,2454.55,-23.668,357,5923.85,15097.9,18839.5,0,0,0,0,275.848,0,275.848,0,0,357,0,29.3955,0,386.395,0,1,0,927.581,0,0,0,927.581,20
649,1,10.294,0,0,154.382,-11.9283,156.017,10300,114.36,156.017,0,593.443,-749.01,1384.11,7210,2060,1030,30825,21814.2,64,590.329,162.127,0,2216.81,-163.873,357,6129.82,15684.4,19642.6,0,0,0,0,162.127,0,162.127,0,0,357,0,149.256,0,506.256,0,1,0,1890.37,0,0,0,1890.37,20
649,1,10.7429,0,0,173.587,5.13601,157.709,10300,119.347,157.709,0,346.088,322.504,61.945,7210,2060,1030,30825,22559.5,64,604.284,182.296,0,1926.55,44.7749,357,6328.5,16231,20000,0,0,0,0,182.296,0,182.296,0,0,357,0,94.6316,0,451.632,0,1,0,513.577,0,0,0,513.577,20
649,1,12.6268,0,0,74.3992,-0.255502,62.0279,10300,140.276,62.0279,0,297.092,-16.0437,234.888,7210,2060,1030,30825,22940.2,64,608.314,78.1315,0,1114.98,-152.875,357,6433.22,16507,20000,0,0,0,0,78.1315,0,78.1315,0,0,357,0,44.2426,0,401.243,0,1,0,636.13,0,0,0,636.13,20
649,1,14.433,0,0,75.1151,-2.13788,62.8199,10300,160.342,62.8199,0,518.007,-134.243,554.729,7210,2060,1030,30825,23629.3,64,616.067,78.8834,0,1478.76,-104.483,357,6703.58,16925.7,20000,0,0,0,0,78.8834,0,78.8834,0,0,357,0,228.857,0,585.857,0,1,0,1140.59,0,0,0,1140.59,20
649,1,13.9657,0,0,184.12,-4.33532,174.49,10300,155.15,174.49,0,1291.14,-272.227,1582.71,7210,2060,1030,30825,23839,64,554.885,193.357,0,2765.14,-93.5869,2287.47,6913.31,16925.7,20000,0,0,0,0,193.357,0,193.357,0,0,2287.47,0,398.097,0,2685.56,0,1,0,4268.27,0,0,0,4268.27,20
649,1,12.3682,0,0,96.6898,-3.01846,87.34,10300,137.403,87.34,0,1110.95,-189.538,1250.42,7210,2060,1030,30825,23839,64,583.441,101.54,0,1915.23,102.275,1331.05,6913.31,16925.7,20000,0,0,0,0,101.54,0,101.54,0,0,1331.05,0,191.888,0,1522.94,0,1,0,2773.36,0,0,0,2773.36,20
649,1,13.2449,0,0,224.419,-3.53993,214.714,10300,147.143,214.714,0,6125.94,-222.282,6415.79,7210,2060,1030,30825,23839,64,610.24,235.678,0,8351.85,-298.264,8275.55,6913.31,16925.7,20000,0,0,0,0,235.678,0,235.678,0,0,8275.55,0,513.386,0,8788.94,0,1,0,15204.7,0,0,0,15204.7,20
649,1,14.0498,0,0,126.148,0.583507,111.515,10300,156.084,111.515,0,2356.03,36.64,2274.82,7210,2060,1030,30825,23839,64,584.984,132.477,0,3521.01,36.4741,3032.03,6913.31,16925.7,20000,0,0,0,0,132.477,0,132.477,0,0,3032.03,0,216.809,0,3248.84,0,1,0,5523.66,0,0,0,5523.66,20
649,1,12.9877,0,0,64.0737,-2.81562,53.9017,10300,144.285,53.9017,0,1342.57,-176.8,1428.99,7210,2060,1030,30825,23839,64,569.318,67.2881,0,1805.87,114.073,1189.77,6913.31,16925.7,20000,0,0,0,0,67.2881,0,67.2881,0,0,1189.77,0,103.678,0,1293.44,0,1,0,2722.43,0,0,0,2722.43,20
649,1,13.4855,0,0,160.499,-2.74595,149.76,10300,149.816,149.76,0,2211.46,-172.426,2383.83,7210,2060,1030,30825,23839,64,586.579,168.551,0,3352.65,-131.139,3065.76,6913.31,16925.7,20000,0,0,0,0,168.551,0,168.551,0,0,3065.76,0,161.714,0,3227.48,0,1,0,5611.31,0,0,0,5611.31,20
649,1,14.2369,0,0,134.001,-12.1888,131.953,10300,158.163,131.953,0,5610.89,-765.368,6350.05,7210,2060,1030,30825,23839,64,627.244,140.724,0,6869.45,-830.339,7213.27,6913.31,16925.7,20000,0,0,0,0,140.724,0,140.724,0,0,7213.27,0,119.703,0,7332.97,0,1,0,13683,0,0,0,13683,20
649,1,17.5585,0,0,286.385,-3.2875,272.114,10300,195.064,272.114,0,4144.04,-206.432,4427.53,7210,2060,1030,30825,23839,64,586.287,300.752,0,6129.82,-138.771,5983.06,6913.31,16925.7,20000,0,0,0,0,300.752,0,300.752,0,0,5983.06,0,171.232,0,6154.29,0,1,0,10581.8,0,0,0,10581.8,20
649,1,15.1297,0,0,106.478,-6.50654,97.8545,10300,168.082,97.8545,0,996.512,-408.564,1334.85,7210,2060,1030,30825,23839,64,634.363,111.819,0,1559.74,69.8496,967.35,6913.31,16925.7,20000,0,0,0,0,111.819,0,111.819,0,0,967.35,0,163.02,0,1130.37,0,1,0,2465.22,0,0,0,2465.22,20
649,1,17.916,0,0,163.732,-0.512307,146.328,10300,199.036,146.328,0,2376.42,-32.1692,2355.89,7210,2060,1030,30825,23839,64,660.623,171.946,0,3277.62,-170.042,2958.98,6913.31,16925.7,20000,0,0,0,0,171.946,0,171.946,0,0,2958.98,0,179.878,0,3138.86,0,1,0,5494.75,0,0,0,5494.75,20
649,1,13.8031,0,0,189.261,-5.63928,181.097,10300,153.344,181.097,0,1225.31,-354.106,1607.17,7210,2060,1030,30825,23839,64,622.538,198.756,0,2096.36,-3.91034,1676.49,6913.31,16925.7,20000,0,0,0,0,198.756,0,198.756,0,0,1676.49,0,235.366,0,1911.85,0,1,0,3519.02,0,0,0,3519.02,20
649,1,14.6235,0,0,209.488,2.15881,192.706,10300,162.459,192.706,0,4922.82,135.557,4817.51,7210,2060,1030,30825,23839,64,742.673,219.998,0,6082.97,-426.011,5986.31,6913.31,16925.7,20000,0,0,0,0,219.998,0,219.998,0,0,5986.31,0,641.765,0,6628.07,0,1,0,11445.6,0,0,0,11445.6,20
